#Digilent WaveForms Scope FFT
#Device Name: Discovery2
#Serial Number: SN:210321A1882E
#Date Time: 2018-05-21 20:08:36.400

Frequency (Hz),Channel 1 (dBV)
424.90842490842493,-54.152360921462133
429.7924297924298,-53.677246646012513
434.67643467643467,-53.533609938912115
439.56043956043953,-53.921755428699257
444.44444444444446,-53.852087088731004
449.32844932844932,-53.601369413729898
454.21245421245419,-53.779747130171828
459.09645909645911,-54.077215608552393
463.98046398046398,-54.218819360492205
468.86446886446885,-54.453008411453816
473.74847374847377,-53.757611035128065
478.63247863247864,-53.716915891216182
483.5164835164835,-53.798509007966672
488.40048840048843,-53.694102080548795
493.28449328449329,-54.020582102908534
498.16849816849816,-54.843862308287569
503.05250305250303,-54.328396825650344
507.93650793650795,-53.4077868506835
512.82051282051282,-53.301234474843859
517.70451770451768,-53.355679900787123
522.58852258852255,-53.81732985592069
527.47252747252742,-53.455624739323255
532.3565323565324,-53.820149952699751
537.24053724053726,-54.083251321875082
542.12454212454213,-53.240814607264355
547.008547008547,-52.999267349295565
551.89255189255186,-52.713112553578554
556.77655677655673,-52.912618079269535
561.66056166056171,-52.958214386879703
566.54456654456658,-53.126058786569324
571.42857142857144,-53.294924386760918
576.31257631257631,-53.666817595618561
581.19658119658118,-52.959035455314734
586.08058608058604,-52.675288706264425
590.96459096459091,-52.813834201085143
595.84859584859589,-53.273116014251372
600.73260073260076,-53.718683612551942
605.61660561660563,-53.188589370358095
610.50061050061049,-52.736983142034163
615.38461538461536,-52.915485140455573
620.26862026862023,-52.374702790487248
625.15262515262521,-52.536719016403602
630.03663003663007,-52.683455728816043
634.92063492063494,-52.860211061018518
639.80463980463981,-52.890351629317387
644.68864468864467,-52.609698107662396
649.57264957264954,-52.642386014291212
654.45665445665441,-52.516893305377394
659.34065934065939,-52.653453865170768
664.22466422466425,-52.056429737776568
669.10866910866912,-52.273841091606307
673.99267399267399,-52.068628222739505
678.87667887667885,-52.168692887646806
683.76068376068372,-51.974125561392682
688.6446886446887,-51.907752488077946
693.52869352869357,-52.667060102366065
698.41269841269843,-51.783931092743089
703.2967032967033,-52.242241829317997
708.18070818070817,-51.907582704332683
713.06471306471303,-51.873546519897658
717.9487179487179,-51.24993005825484
722.83272283272288,-50.783774089532741
727.71672771672775,-51.695135631404419
732.60073260073261,-50.970532485759392
737.48473748473748,-50.829265903521076
742.36874236874235,-50.810134149924373
747.25274725274721,-51.04680947659152
752.13675213675219,-50.305153685740322
757.02075702075706,-50.551882898122152
761.90476190476193,-50.503682432649356
766.78876678876679,-50.55883053867241
771.67277167277166,-50.684521535418483
776.55677655677653,-49.724336765655231
781.44078144078139,-50.165789128413351
786.32478632478637,-50.489127741228017
791.20879120879124,-49.840929289344729
796.09279609279611,-49.917290618707142
800.97680097680097,-49.151311332097904
805.86080586080584,-49.309433499747264
810.74481074481071,-49.334008115977888
815.62881562881557,-49.982578729990585
820.51282051282055,-49.158256563775105
825.39682539682542,-49.36950629275556
830.28083028083029,-48.842549058687268
835.16483516483515,-49.629471653701302
840.04884004884002,-48.339647064766567
844.93284493284489,-48.046491583795927
849.81684981684987,-47.8867926079689
854.70085470085473,-47.832220572405177
859.5848595848596,-48.229351840889628
864.46886446886447,-47.896914440523659
869.35286935286933,-48.129155358349543
874.2368742368742,-47.858184449737408
879.12087912087907,-48.02811285228222
884.00488400488405,-48.44244210454044
888.88888888888891,-47.074085693926158
893.77289377289378,-46.189033962976261
898.65689865689865,-46.460631802381968
903.54090354090351,-46.27581850585841
908.42490842490838,-46.25360003926783
913.30891330891336,-46.923064333328284
918.19291819291823,-47.261688199811196
923.07692307692309,-46.506851528844699
927.96092796092796,-45.638938856851929
932.84493284493283,-45.697570258891325
937.72893772893769,-45.59512690095184
942.61294261294256,-45.521134432228223
947.49694749694754,-45.926528819970315
952.38095238095241,-45.609106604346728
957.26495726495727,-45.912439945780655
962.14896214896214,-46.134524355611177
967.03296703296701,-45.110644522904067
971.91697191697187,-45.263538220701435
976.80097680097685,-45.177002050497073
981.68498168498172,-44.691784138313302
986.56898656898659,-44.714482894661955
991.45299145299145,-45.680609848603012
996.33699633699632,-44.382436720651086
1001.2210012210012,-45.511134911846653
1006.1050061050061,-45.408261578604908
1010.989010989011,-45.288346198286803
1015.8730158730159,-44.753374683618425
1020.7570207570208,-44.729069698896986
1025.6410256410256,-45.078122657208858
1030.5250305250306,-45.702461000212047
1035.4090354090354,-45.444047909801156
1040.2930402930403,-45.248681858116726
1045.1770451770451,-44.690884547822129
1050.0610500610501,-45.79659207824573
1054.9450549450548,-46.12713757821794
1059.8290598290598,-46.256612317921189
1064.7130647130648,-46.227097069503131
1069.5970695970695,-45.655503643735358
1074.4810744810745,-45.439307195616784
1079.3650793650793,-46.541198314027625
1084.2490842490843,-46.272616218957495
1089.1330891330892,-46.349576391046952
1094.017094017094,-47.044112195455511
1098.901098901099,-46.951185541559312
1103.7851037851037,-46.834605729349818
1108.6691086691087,-47.428978156245549
1113.5531135531135,-46.621393783578384
1118.4371184371184,-47.42061712423461
1123.3211233211234,-48.035434475972508
1128.2051282051282,-47.855737418920619
1133.0891330891332,-47.813885223957264
1137.9731379731379,-47.848050755709593
1142.8571428571429,-47.413219110838099
1147.7411477411476,-48.168891106673179
1152.6251526251526,-47.702349497670546
1157.5091575091576,-47.996718049244294
1162.3931623931624,-47.956586048136487
1167.2771672771673,-49.254291960455163
1172.1611721611721,-48.078374470193125
1177.0451770451771,-47.275946902098198
1181.9291819291818,-48.390382599019723
1186.8131868131868,-48.414177452808111
1191.6971916971918,-48.198537335762964
1196.5811965811965,-49.276233198415262
1201.4652014652015,-48.572182987062163
1206.3492063492063,-49.376353135474524
1211.2332112332113,-49.24547263402836
1216.1172161172162,-49.381583638012458
1221.001221001221,-49.445815431372743
1225.885225885226,-49.310663784788673
1230.7692307692307,-49.410306194597304
1235.6532356532357,-49.422914003200553
1240.5372405372405,-49.692970853364926
1245.4212454212454,-50.322124075538703
1250.3052503052504,-49.345673539225324
1255.1892551892552,-50.349146780983347
1260.0732600732601,-50.343616588931262
1264.9572649572649,-50.30927880680656
1269.8412698412699,-50.710993561505788
1274.7252747252746,-50.613473128522202
1279.6092796092796,-49.866290927077713
1284.4932844932846,-49.561995906919748
1289.3772893772893,-50.287642669322388
1294.2612942612943,-50.510599291649648
1299.1452991452991,-50.529136288861679
1304.0293040293041,-50.648176978583557
1308.9133089133088,-50.838195554586747
1313.7973137973138,-50.740123882093485
1318.6813186813188,-50.093279739977852
1323.5653235653235,-50.626837531634052
1328.4493284493285,-50.457526301202684
1333.3333333333333,-51.062201779046646
1338.2173382173382,-50.962431110288485
1343.101343101343,-51.225685216269092
1347.985347985348,-50.935180392862975
1352.869352869353,-50.975983618383452
1357.7533577533577,-51.220320412007581
1362.6373626373627,-51.42483063009503
1367.5213675213674,-51.758407256065411
1372.4053724053724,-51.62013145077438
1377.2893772893774,-51.624103394849101
1382.1733821733822,-51.300653248685101
