#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321A1882E
#Date Time: 2018-05-21 18:52:47.755

Frequency (Hz),Trace 1 (dBV)
712.890625,-92.067703161882491
717.7734375,-91.67667717634896
722.65625,-90.823909736403309
727.5390625,-90.815696264140087
732.421875,-90.908862845508494
737.3046875,-90.366895511196148
742.1875,-90.079151735712898
747.0703125,-90.26957070520811
751.953125,-90.110854804259318
756.8359375,-90.301408257739183
761.71875,-89.38518422467385
766.6015625,-89.635102728647823
771.484375,-89.592250461191242
776.3671875,-89.942087465031747
781.25,-89.869332884986633
786.1328125,-89.527738521809084
791.015625,-89.524311669956404
795.8984375,-89.378931221963512
800.78125,-89.947175530550325
805.6640625,-89.753811903333158
810.546875,-89.303196188600268
815.4296875,-90.271565618918117
820.3125,-90.405475641769911
825.1953125,-90.879814021360176
830.078125,-91.220908379238708
834.9609375,-91.556698336104304
839.84375,-92.407658338175452
844.7265625,-92.256949531990372
849.609375,-91.731477187956386
854.4921875,-92.859652091727128
859.375,-93.829818388380644
864.2578125,-93.366400265998749
869.140625,-94.338204401941425
874.0234375,-94.141763472858912
878.90625,-95.061007495283349
883.7890625,-95.722234431489113
888.671875,-96.450775012997269
893.5546875,-96.26964575281464
898.4375,-96.053753622235746
903.3203125,-95.833264276743336
908.203125,-95.842631962232758
913.0859375,-96.341315682052254
917.96875,-95.711415982391827
922.8515625,-94.91228431991216
927.734375,-94.442861154803097
932.6171875,-94.2380075982622
937.5,-93.833534106472584
942.3828125,-93.8541322751054
947.265625,-93.3915585060833
952.1484375,-92.990963715580065
957.03125,-92.943430483573778
961.9140625,-92.606988013462441
966.796875,-92.653989375546246
971.6796875,-91.80971367016565
976.5625,-91.354592997147421
981.4453125,-90.954492926330346
986.328125,-90.643596981843018
991.2109375,-90.481372078677651
996.09375,-90.369864085692484
1000.9765625,-89.466879593959376
1005.859375,-90.185589255609159
1010.7421875,-89.767975564972673
1015.625,-89.772740844170031
1020.5078125,-89.891831421808476
1025.390625,-89.108827444581479
1030.2734375,-88.886481373387824
1035.15625,-89.496232016428308
1040.0390625,-90.154327635215935
1044.921875,-89.613071156961936
1049.8046875,-89.61643939733645
1054.6875,-89.513069148699046
1059.5703125,-89.576427157740696
1064.453125,-89.867649852487716
1069.3359375,-90.703595172154579
1074.21875,-90.399054135027768
1079.1015625,-90.647289380195531
1083.984375,-90.388119317951151
